id,name,description,sector,stage,funding_amount_usd,funding_year,hq_country,hq_city,founded_year,employee_count,revenue_stage,investors,traction_signal
1,NeuraLogic AI,Develops large language models for automated clinical documentation and medical coding. Integrates with Epic and Cerner EHR systems. FDA 510k submitted.,Healthcare AI,Series A,12000000,2023,USA,Boston,2021,45,Pre-revenue,"General Catalyst, a16z Bio","FDA submission, 3 LOIs from hospital systems"
2,GreenVolt Energy,AI-driven battery management software for commercial EV fleets. Reduces charging costs by 34% through predictive load balancing.,Climate Tech,Seed,4500000,2023,USA,Austin,2022,18,Early revenue,"Breakthrough Energy Ventures, Congruent VC","12 fleet operators, $800K ARR"
3,SupplyMind,Real-time supply chain risk intelligence platform using satellite imagery and NLP on shipping data. Serves Fortune 500 manufacturers.,Supply Chain,Series B,38000000,2022,USA,Chicago,2019,120,Growth,"Tiger Global, Insight Partners","$4.2M ARR, 28 enterprise clients"
4,Parcelify,Last-mile delivery optimization for SMB e-commerce. Route ML reduces fuel costs 22%. White-labeled for regional carriers.,Logistics Tech,Seed,2800000,2023,USA,Atlanta,2022,12,Early revenue,"Precursor Ventures, Hustle Fund","3 carrier partnerships, 400 SMB customers"
5,CarbonLedger,Automated Scope 1/2/3 carbon accounting and reporting platform for mid-market companies. SOC2 certified. Integrates with QuickBooks and SAP.,Climate Tech,Series A,9000000,2023,USA,San Francisco,2021,38,Early revenue,"Salesforce Ventures, Congruent VC","$1.1M ARR, 85 paying customers"
6,MedBridge Dx,Point-of-care diagnostic AI for low-resource clinical settings. WHO pre-qualified for malaria and TB detection. Deployed in 6 African countries.,Healthcare AI,Series A,15000000,2022,Kenya,Nairobi,2019,60,Grant-funded,"Omidyar Network, CDC Foundation","800K tests processed, WHO pre-qualification"
7,FinSight Analytics,Automated financial statement analysis and peer benchmarking for investment bankers. Reduces comp table build time from 4 hours to 12 minutes.,Fintech,Seed,3200000,2023,USA,New York,2022,9,Pre-revenue,"Bain Capital Ventures, Operator Collective","18 IB teams in beta, 3 paid pilots"
8,TrustLayer,Insurance certificate verification and compliance automation for construction and real estate. Replaces manual COI review.,Insurtech,Series A,11000000,2022,USA,San Francisco,2020,55,Early revenue,"Anthemis, Ulu Ventures","$1.8M ARR, 200+ brokerages"
9,AgroSense,IoT soil monitoring and AI crop advisory for smallholder farmers in Southeast Asia. Works on 2G. Backed by USAID.,Agritech,Seed,2100000,2022,Indonesia,Jakarta,2021,22,Grant-funded,"USAID, Acumen","14,000 farmers, 6 provinces"
10,DevSecFlow,Automated security code review integrated into GitHub and GitLab CI/CD pipelines. Detects OWASP Top 10 vulnerabilities in pull requests.,Cybersecurity,Seed,5500000,2023,USA,Seattle,2022,16,Early revenue,"Unusual Ventures, YC S23","320 dev teams, $420K ARR"
11,Luminary EdTech,Adaptive learning platform for K-12 math using spaced repetition and diagnostic assessments. Sold directly to school districts.,EdTech,Series A,8000000,2022,USA,Denver,2020,40,Early revenue,"NewSchools Venture Fund, GSV Ventures","62 district contracts, $1.3M ARR"
12,NovaSpin Quantum,Quantum error correction middleware for NISQ-era devices. Partners with IBM Quantum and IonQ. Research-stage.,Deep Tech,Seed,6000000,2023,USA,Cambridge,2022,11,Pre-revenue,"Quantum Wave Fund, In-Q-Tel","2 research partnerships, 4 patents filed"
13,RegenFarms,Regenerative agriculture marketplace connecting carbon credit buyers with verified soil carbon farmers. MRV protocol approved by Verra.,Climate Tech,Series A,13000000,2023,USA,Nashville,2021,35,Early revenue,"S2G Ventures, Prelude Ventures","42 farms, $900K carbon credit revenue"
14,Flowlytics,Product analytics platform for B2B SaaS with built-in session replay and funnel analysis. Competes with Mixpanel at half the price.,SaaS Analytics,Seed,3800000,2023,USA,Austin,2022,14,Early revenue,"Craft Ventures, Operator Collective","280 SaaS companies, $560K ARR"
15,PharmaTrace,Blockchain-based pharmaceutical supply chain serialization for regulatory compliance. FDA DSCSA compliant.,Healthtech,Series B,22000000,2022,USA,Philadelphia,2019,90,Revenue,"Deerfield Management, McKesson Ventures","$3.1M ARR, 14 pharma manufacturers"
16,Arcadian Robotics,Autonomous mobile robots for warehouse pick-and-place. Vision-only (no QR codes). Works in unstructured environments.,Robotics,Series A,18000000,2023,USA,Pittsburgh,2020,70,Early revenue,"Khosla Ventures, Construct Capital","4 warehouse deployments, $2.4M ARR"
17,SkyWatch Earth,Satellite data API platform democratizing access to commercial SAR and multispectral imagery. Pay-per-scene pricing.,Space Tech,Series A,10000000,2022,Canada,Toronto,2019,45,Early revenue,"MaRS IAF, Emersion","320 API customers, $1.4M ARR"
18,Kira Legal,AI contract review and clause extraction for mid-market corporate legal teams. Trains on proprietary contract libraries.,LegalTech,Series B,30000000,2022,Canada,Toronto,2018,130,Growth,"Insight Partners, Relay Ventures","$5.2M ARR, 180 legal teams"
19,Pulse Commerce,Headless commerce infrastructure for enterprise retail. Real-time inventory sync across 40+ sales channels.,E-commerce,Series A,14000000,2022,USA,New York,2020,58,Growth,"Battery Ventures, Commerce Ventures","$2.8M ARR, 22 enterprise retailers"
20,AnchorMD,Remote patient monitoring platform for post-acute cardiac care. FDA cleared. Integrated with 12 payer networks.,Healthcare AI,Series B,25000000,2023,USA,Nashville,2020,95,Growth,"Optum Ventures, HLM Venture Partners","$3.8M ARR, 8 health system contracts"
21,ClimateAI,Hyperlocal climate risk forecasting for agricultural commodity traders and food companies. 15-day horizon models.,Climate Tech,Series B,35000000,2022,USA,San Francisco,2018,110,Growth,"Radicle Impact, Mars Catalyst","$4.6M ARR, 35 commodity trading firms"
22,Cobalt Robotics,Security patrol robots for commercial real estate. Human-in-the-loop anomaly review via mobile app.,Robotics,Series B,35000000,2022,USA,San Mateo,2016,120,Growth,"Shield Capital, Coatue","$6M ARR, 200+ deployments"
23,DataSift,No-code data pipeline builder for ops teams. Connects 120+ SaaS tools to BigQuery and Snowflake without SQL.,Data Infrastructure,Seed,4200000,2023,USA,New York,2022,13,Early revenue,"firstminute capital, Operator Collective","190 ops teams, $640K ARR"
24,Meridian Genomics,Whole genome sequencing interpretation platform for rare disease diagnosis. Turnaround 72 hours. CLIA certified.,Biotech,Series A,20000000,2022,USA,South San Francisco,2020,55,Pre-revenue,"Andreessen Horowitz Bio, RA Capital","12 academic medical center pilots"
25,NimbusPay,Cross-border B2B payments infrastructure for emerging markets. Settles in local currency without correspondent banks.,Fintech,Series A,16000000,2023,Nigeria,Lagos,2021,48,Early revenue,"Partech Africa, Y Combinator","$2.1M TPV monthly, 340 SMB importers"
26,BuildRight AI,Generative AI for construction document management. Automatically extracts specs from architectural drawings.,Construction Tech,Seed,3500000,2023,USA,Dallas,2022,10,Pre-revenue,"Brick & Mortar Ventures, Navitas Capital","22 general contractors in beta"
27,BioReactor Labs,Continuous manufacturing bioreactor platform for cell and gene therapy. Reduces COGS by 60% vs batch.,Biotech,Series A,24000000,2022,USA,Cambridge,2019,65,Pre-revenue,"Novo Holdings, 8VC","2 CDMOs as manufacturing partners"
28,ClearMind Health,Digital therapeutics platform for anxiety and depression. FDA Breakthrough Device designation. Employer-sponsored.,Mental Health Tech,Series A,11000000,2023,USA,New York,2021,42,Early revenue,"Andreessen Horowitz, Optum Ventures","$1.2M ARR, 14 employer contracts"
29,Volta Charging,EV charging network co-located at retail locations funded by brand advertising on charging screens.,Climate Tech,Series C,200000000,2021,USA,San Francisco,2010,300,Revenue,"Goldman Sachs, BNP Paribas","$12M ARR, 3000+ charging screens"
30,Orbital Insight,Geospatial AI analytics platform using satellite imagery for macroeconomic intelligence. Serves hedge funds and government.,Space Tech,Series C,78000000,2020,USA,Palo Alto,2013,150,Revenue,"Google Ventures, In-Q-Tel","$9M ARR, 45 institutional clients"
31,Streamline HR,AI-powered HR workflow automation for compliance, onboarding, and benefits administration. Mid-market focus.,HR Tech,Seed,2900000,2023,USA,Chicago,2022,11,Early revenue,"Initialized Capital, Quiet Capital","150 HR teams, $380K ARR"
32,ProofPoint Security,Email security and insider threat detection using behavioral AI. Competes below enterprise Proofpoint tier.,Cybersecurity,Series A,12000000,2022,USA,Sunnyvale,2020,50,Early revenue,"CRV, Costanoa Ventures","$1.6M ARR, 280 SMB customers"
33,Athena Trade,AI-powered trade finance document processing for importers and exporters. Reduces LC processing from 5 days to 4 hours.,Fintech,Seed,4800000,2023,Singapore,Singapore,2022,15,Pre-revenue,"Sequoia Capital India, QED Investors","8 bank pilot programs"
34,Axial Carbon,Industrial carbon capture retrofits for cement and steel plants. Modular system drops into existing flue stacks.,Climate Tech,Series A,22000000,2023,USA,Houston,2020,40,Pre-revenue,"Breakthrough Energy Ventures, DCVC","2 commercial pilots, DOE grant recipient"
35,MindBridge Analytics,AI auditing platform that flags anomalies in general ledger data for forensic accountants and auditors.,Fintech,Series B,27000000,2021,Canada,Ottawa,2015,95,Revenue,"Espresso Capital, Mistral Venture Partners","$4.4M ARR, Big 4 accounting partnerships"
36,Waypoint Fleet,Fleet management SaaS for municipal and utility vehicle fleets. Predictive maintenance reduces downtime 28%.,Logistics Tech,Series A,9500000,2022,USA,Columbus,2019,38,Early revenue,"Drive Capital, Rev1 Ventures","$1.4M ARR, 18 municipal fleet contracts"
37,LexAI,Legal research AI trained on case law and statutes. 10x faster case research for solo and small firm lawyers.,LegalTech,Seed,3100000,2023,USA,Washington DC,2022,8,Pre-revenue,"Village Global, Operator Collective","900 lawyers in waitlist, 60 beta users"
38,ClimaRisk,Physical climate risk modeling for commercial real estate lenders and insurers. Integrated with CoreLogic.,Climate Tech,Series A,10500000,2023,USA,New York,2021,32,Early revenue,"Wellington Management, Obvious Ventures","$950K ARR, 6 CRE lender contracts"
39,Quant Health,Continuous glucose monitoring analytics and personalized nutrition coaching. CE marked in EU. FDA pending.,Health Tech,Series A,13500000,2022,Germany,Berlin,2020,52,Early revenue,"HV Capital, Earlybird","$1.7M ARR, 28,000 active users"
40,Nuclei Labs,Low-code internal tool builder optimized for data-heavy operations teams. Databricks and Snowflake native.,Data Infrastructure,Seed,5100000,2023,USA,San Francisco,2022,17,Early revenue,"Sequoia Scout, Backend Capital","240 data teams, $720K ARR"
41,TeraStor Energy,Long-duration iron-air battery storage for utility-scale renewables. 100-hour discharge. Form Energy competitor.,Climate Tech,Series B,85000000,2022,USA,Denver,2019,110,Pre-revenue,"Energy Impact Partners, Breakthrough Energy","2 utility PPAs signed, DOE loan application"
42,HireIQ,Structured interview intelligence platform. Transcribes, scores, and debiases interviews against competency frameworks.,HR Tech,Series A,7500000,2022,USA,San Francisco,2020,30,Early revenue,"Homebrew, Felicis Ventures","$900K ARR, 120 TA teams"
43,Pano AI,Wildfire early detection network using panoramic cameras and computer vision. Installed on cell towers.,Climate Tech,Series A,17000000,2022,USA,San Francisco,2020,48,Early revenue,"Congruent VC, Salesforce Ventures","$2.1M ARR, 14 utility and fire agency contracts"
44,Kernel Biosciences,AI-designed protein engineering platform for novel enzyme discovery. Licensing to pharma and agriculture.,Biotech,Series A,18000000,2023,USA,San Diego,2020,35,Pre-revenue,"Andreessen Horowitz Bio, DCVC Bio","4 licensing partnerships, 12 patents"
45,Synth Data Co,Synthetic data generation platform for ML teams that cannot use real PII. HIPAA safe harbor compliant.,AI Infrastructure,Seed,4300000,2023,USA,New York,2022,16,Early revenue,"General Catalyst, Eniac Ventures","180 ML teams, $590K ARR"
46,Casebook PBC,Cloud-based case management platform for social service agencies. Government procurement specialist.,GovTech,Series B,20000000,2021,USA,Chicago,2014,75,Revenue,"New Markets Venture Partners, Impact Engine","$3.6M ARR, 38 government agency contracts"
47,Rho Business Banking,Business banking and spend management platform for startups and SMBs. FDIC insured via Thread Bank.,Fintech,Series B,75000000,2022,USA,New York,2019,200,Revenue,"M12, Dragoneer","$8M ARR, 7,000 business customers"
48,Persefoni,Enterprise carbon accounting and climate disclosure platform. SEC climate rule reporting ready.,Climate Tech,Series B,50000000,2022,USA,Tempe,2020,150,Revenue,"General Atlantic, Prelude Ventures","$5.2M ARR, 350 enterprise customers"
49,Cresta AI,Real-time AI coaching for contact center agents. In-call suggestions powered by fine-tuned LLMs.,SaaS Analytics,Series C,80000000,2022,USA,San Francisco,2017,230,Revenue,"Sequoia, Tiger Global","$12M ARR, 40 enterprise contact centers"
50,Luminary Space,Satellite-to-cellular direct connectivity for IoT devices. No ground station infrastructure needed.,Space Tech,Series A,21000000,2023,USA,Hawthorne,2021,55,Pre-revenue,"Lux Capital, Eclipse Ventures","LOIs from 3 telecom operators, FCC filing submitted"
